gender,income,credit_score,approved
male,50870,669,1
female,47009,589,0
male,50917,656,1
male,30124,611,0
male,47803,661,1
female,53571,716,1
male,64778,808,1
male,44817,526,0
male,41915,863,1
female,44982,454,0
male,59154,634,0
male,53287,708,1
male,44702,678,1
male,55132,587,0
female,50970,629,0
male,59686,600,0
female,42979,591,0
female,46723,734,1
female,46078,685,1
male,35364,580,0
female,52961,739,1
male,52610,680,1
female,50051,731,1
female,47654,712,1
female,35846,567,0
female,45793,593,0
female,46572,724,1
female,41977,711,1
female,48387,647,0
female,54040,661,1
male,68861,777,1
male,51745,590,0
female,52575,704,1
female,49255,629,0
female,30812,628,0
male,49734,759,1
female,50602,732,1
male,74632,731,1
male,48076,780,1
male,53015,652,1
male,49652,718,1
male,38313,618,0
female,61428,682,1
female,57519,636,0
female,57910,659,1
female,40906,709,1
female,64027,568,0
male,35981,859,1
female,55868,549,0
female,71904,528,0
male,40094,765,1
female,44337,729,1
male,50996,712,1
female,44965,712,1
male,34493,648,0
female,50685,560,0
female,39376,657,1
male,54735,582,0
male,40805,747,1
male,65499,635,0
male,42167,567,0
male,46779,617,0
male,58135,691,1
male,37691,593,0
male,52274,567,0
female,63071,674,1
female,33925,674,1
male,51846,599,0
female,52598,602,0
female,57818,673,1
female,37630,505,0
female,36795,509,0
male,55219,578,0
female,52969,628,0
male,52504,681,1
female,53464,797,1
female,43199,735,1
female,52322,634,0
male,52930,648,0
female,42856,549,0
male,68657,648,0
female,54738,621,0
male,38086,682,1
female,56565,567,0
male,40253,701,1
male,57870,803,1
female,61585,639,0
male,41793,690,1
female,59633,719,1
female,54127,609,0
female,58220,672,1
female,68967,651,1
female,47546,659,1
female,42462,572,0
female,41104,652,1
female,41841,699,1
female,49228,795,1
female,53411,745,1
female,52766,865,1
male,58271,573,0
male,50130,737,1
female,64535,668,1
female,47353,868,1
female,77201,569,0
female,56256,566,0
female,41428,590,0
female,39291,437,0
female,54824,597,0
female,47765,574,0
male,57140,665,1
female,54732,684,1
male,49271,837,1
female,41532,745,1
female,34851,592,0
male,45534,560,0
female,58563,699,1
male,52140,517,0
female,37542,833,1
female,51731,767,1
male,53853,603,0
female,41161,478,0
male,51537,785,1
female,50582,638,0
male,38570,773,1
male,53577,490,0
female,55607,590,0
female,60830,650,0
male,60538,654,1
female,36223,604,0
female,40621,712,1
female,55150,543,0
male,55137,635,0
male,55150,662,1
male,88527,701,1
male,55708,721,1
male,61355,537,0
male,59540,496,0
male,56513,777,1
male,46847,683,1
male,57589,575,0
female,42271,805,1
male,47631,661,1
female,45146,767,1
female,50818,656,1
female,73146,856,1
male,31327,825,1
male,56862,625,0
male,33872,747,1
male,45280,714,1
female,60889,786,1
male,50642,553,0
male,39222,718,1
male,42846,755,1
male,56795,474,0
male,42696,531,0
female,52164,446,0
male,50455,623,0
female,43483,721,1
male,71439,800,1
female,56339,657,1
male,29748,812,1
male,51864,511,0
female,43382,479,0
female,58524,644,0
female,42074,688,1
male,48852,646,0
female,55049,443,0
male,58657,641,0
male,37997,519,0
female,46654,716,1
female,45250,686,1
male,43466,556,0
male,67654,598,0
female,54049,544,0
female,37391,643,0
female,59178,745,1
male,71221,551,0
male,60324,700,1
male,34806,596,0
male,45157,570,0
male,62669,639,0
male,42923,546,0
female,54438,594,0
male,57746,530,0
male,40730,846,1
male,49404,653,1
female,17587,580,0
male,39756,671,1
male,47474,638,0
female,37522,627,0
male,66324,711,1
male,35698,725,1
male,45599,596,0
male,51307,592,0
male,64412,622,0
female,35641,419,0
female,61631,498,0
female,50102,786,1
male,40184,814,1
male,54621,625,0
